exchange,code,name,listed_from,listed_to_exclusive,list_evidence_class,delist_evidence_class
SZSE,002828,贝肯能源,2016-12-08,,RETROSPECTIVE_PRIMARY,
SZSE,002829,星网宇达,2016-12-13,,RETROSPECTIVE_PRIMARY,
SZSE,002830,名雕股份,2016-12-13,,RETROSPECTIVE_PRIMARY,
SZSE,002831,裕同科技,2016-12-16,,RETROSPECTIVE_PRIMARY,
SZSE,002832,比音勒芬,2016-12-23,,RETROSPECTIVE_PRIMARY,
SZSE,002833,弘亚数控,2016-12-28,,RETROSPECTIVE_PRIMARY,
SZSE,002835,同为股份,2016-12-28,,RETROSPECTIVE_PRIMARY,
SZSE,002836,新宏泽,2016-12-29,,RETROSPECTIVE_PRIMARY,
SZSE,002837,英维克,2016-12-29,,RETROSPECTIVE_PRIMARY,
SZSE,002838,道恩股份,2017-01-06,,RETROSPECTIVE_PRIMARY,
SZSE,002839,张家港行,2017-01-24,,RETROSPECTIVE_PRIMARY,
SZSE,002840,华统股份,2017-01-10,,RETROSPECTIVE_PRIMARY,
SZSE,002841,视源股份,2017-01-19,,RETROSPECTIVE_PRIMARY,
SZSE,002842,翔鹭钨业,2017-01-19,,RETROSPECTIVE_PRIMARY,
SZSE,002843,泰嘉股份,2017-01-20,,RETROSPECTIVE_PRIMARY,
SZSE,002845,同兴达,2017-01-25,,RETROSPECTIVE_PRIMARY,
SZSE,002846,英联股份,2017-02-07,,RETROSPECTIVE_PRIMARY,
SZSE,002847,盐津铺子,2017-02-08,,RETROSPECTIVE_PRIMARY,
SZSE,002848,高斯贝尔,2017-02-13,,RETROSPECTIVE_PRIMARY,
SZSE,002849,威星智能,2017-02-17,,RETROSPECTIVE_PRIMARY,
SZSE,002850,科达利,2017-03-02,,RETROSPECTIVE_PRIMARY,
SZSE,002851,麦格米特,2017-03-06,,RETROSPECTIVE_PRIMARY,
SZSE,002852,道道全,2017-03-10,,RETROSPECTIVE_PRIMARY,
SZSE,002853,皮阿诺,2017-03-10,,RETROSPECTIVE_PRIMARY,
SZSE,002855,捷荣技术,2017-03-21,,RETROSPECTIVE_PRIMARY,
